nombre,url,categoria,categoria_url,imagen
ANDRES TUFIÑO,http://mbnecuador.com/mbnecuador/releases/andres-tufino/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/ttt-1024x681.jpg&a=c&w=420&h=420&q=90
ELY,http://mbnecuador.com/mbnecuador/releases/ely/,Indie Rock,http://mbnecuador.com/mbnecuador/releases-genre/indie-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/18582436_1341469789271982_7285857442484160328_n.jpg&a=c&w=420&h=420&q=90
VEDA,http://mbnecuador.com/mbnecuador/releases/veda/,Experimental,http://mbnecuador.com/mbnecuador/releases-genre/experimental/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/cover-fb-HDALV.jpg&a=c&w=420&h=420&q=90
JAVIER NEIRA,http://mbnecuador.com/mbnecuador/releases/javier-neira/,Urbano,http://mbnecuador.com/mbnecuador/releases-genre/urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/Captura.png&a=c&w=420&h=420&q=90
ANIMA INSIDE,http://mbnecuador.com/mbnecuador/releases/anima-inside/,Rock,http://mbnecuador.com/mbnecuador/releases-genre/rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/Fus-03.jpg&a=c&w=420&h=420&q=90
DRACO AND THE ZODIAC,http://mbnecuador.com/mbnecuador/releases/draco-and-the-zodiac/,Indie,http://mbnecuador.com/mbnecuador/releases-genre/indie-folk-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/Sofa-1024x683.jpg&a=c&w=420&h=420&q=90
KIERTO,http://mbnecuador.com/mbnecuador/releases/kierto/,Hip Hop,http://mbnecuador.com/mbnecuador/releases-genre/hip-hop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/Kierto.jpg&a=c&w=420&h=420&q=90
ANGGIE Y STRATEGA,http://mbnecuador.com/mbnecuador/releases/anggie-y-stratega/,Reggaeton,http://mbnecuador.com/mbnecuador/releases-genre/regueton/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/anggieystratega.png&a=c&w=420&h=420&q=90
FELIPE CENTENO,http://mbnecuador.com/mbnecuador/releases/felipe-centeno/,Salsa,http://mbnecuador.com/mbnecuador/releases-genre/salsa/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/1.jpg&a=c&w=420&h=420&q=90
GIO MOLINA,http://mbnecuador.com/mbnecuador/releases/gio-molina/,Salsa Urbana,http://mbnecuador.com/mbnecuador/releases-genre/salsa-urbana/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/GIOMBN.jpg&a=c&w=420&h=420&q=90
INFECTO DEVORANTE,http://mbnecuador.com/mbnecuador/releases/infecto-devorante/,Deathcore,http://mbnecuador.com/mbnecuador/releases-genre/death-metal-melodicometalhardcore/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/foot2-1.jpg&a=c&w=420&h=420&q=90
YESSY RODRIGUEZ,http://mbnecuador.com/mbnecuador/releases/yessy-rodriguez/,Tropical,http://mbnecuador.com/mbnecuador/releases-genre/tropical/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/15826684_10211095001306801_4631464582007269214_n-1.jpg&a=c&w=420&h=420&q=90
BLACK SUN,http://mbnecuador.com/mbnecuador/releases/black-sun/,Hard Rock,http://mbnecuador.com/mbnecuador/releases-genre/hard-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/BlackSun_TP_band2SMALL.jpg&a=c&w=420&h=420&q=90
COLADOS,http://mbnecuador.com/mbnecuador/releases/colados/,Pop Latino,http://mbnecuador.com/mbnecuador/releases-genre/pop-latino/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/COLA.jpg&a=c&w=420&h=420&q=90
VALENTINA LÓPEZ,http://mbnecuador.com/mbnecuador/releases/valentina-lopez-2/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/05/VALENTINA-LOPEZ-FOTRO.jpg&a=c&w=420&h=420&q=90
